"","Dim.1","Dim.2","Dim.3"
"37",0.790847824061471,0.415363566363257,-0.657632961008979
"38",-0.736173171933689,-0.909773630487009,0.00941341109336166
"39",-0.128110078118611,-0.418161214390615,-0.274114047507997
"40",0.733045120366366,-0.251914196074761,0.0412253788474857
"41",-0.299530888542752,-0.382154486844288,-0.353916573787244
"42",0.644875351942204,-0.236154336570086,-0.656113092684254
"43",-0.59256390580831,-0.847609118775982,0.0283411129769792
"44",-0.879946882201677,-1.28577142703498,0.348343935674518
"45",0.979618896550873,-0.542768516735235,0.517162819525195
"46",0.188411486650052,-0.487993336005577,-0.0089779302417429
"47",0.761556048314482,-0.0035026332288965,-0.261773575351986
"48",-0.252589900452351,-0.55230729097998,-0.135708045897725
"49",0.792309248750843,-0.220086492399776,-0.0102457142821001
"50",-0.0250379178027442,-0.0916286287521327,-0.539633102254753
"51",0.278821911187491,0.13244014988933,-0.587735765018558
"52",-0.514134730222408,-0.423731127994779,-0.413167433527249
"53",0.0863510665727816,-0.557142358570357,-0.0392512573228767
"54",-0.618705283002434,-0.970285530731145,0.131553119308902
"55",0.416324092392163,-0.455764304760711,0.0208983337223015
"56",-0.294440967790093,-0.967493013950946,0.283438432927102
"57",-0.540071711157284,-0.726624906310248,-0.0203407854467323
"58",0.192208296750958,-0.285957829861439,-0.299921626778575
"59",0.555788042507642,-0.340333680141044,-0.302027001273193
"60",-0.493181884156382,-0.960598452089572,0.160600153582689
"61",-1.54521730126601,-1.25693017989447,-0.0379567150835849
"62",-1.50558564760505,-1.34122540140624,0.0498069052577367
"63",1.60408239796366,-0.0310399099638522,-0.545476063724577
"64",2.22807779868195,-0.510716007190375,1.01786769322416
"65",0.841809685722642,-0.602106372401146,0.494651492796204
"66",1.19760634393507,-0.629340224132166,0.524015818155082
"67",0.990653148375592,-0.540280637660584,0.506519889180533
"68",1.23825155623408,-0.377328791307695,0.493410102266777
"69",1.59042693903354,-0.202611373961201,0.344281012362862
"70",0.334759502129858,-0.0843376054481895,-0.613007649627188
"71",1.25402436858604,-0.467812641026832,0.508242383778331
"72",-0.00797278689577034,-0.654013677901579,0.0688040485392944
"73",-0.203415605077905,-0.485497023333653,-0.191350667336637
"74",0.0860782216145834,-0.630951131941288,0.118747315787445
"75",-0.339275389465088,-0.693925584901367,-0.104831221236241
"76",-0.511640587090953,-0.834367465384536,0.0185687614925263
"77",0.246474030064593,0.0916756168347189,-0.693855935047196
"78",0.00736563867541118,-0.912212151417577,0.394313245669831
"79",-1.47061636645535,-1.34028216365175,0.0632733600122194
"80",0.0550086947617542,-0.112709274566707,-0.631843944060632
"81",-0.959504836959697,-0.791770120556343,-0.244212123631675
"82",1.04508922345544,-0.200878424873998,0.0982191220954009
"83",-1.00984861734853,-0.952720217989261,-0.21220946723732
"84",-0.363932964336377,-0.946832666200217,0.136632372303637
"85",0.245449752742103,-0.58205774180173,0.022041600323354
"86",0.48371477404579,-0.451653059168656,0.0366620320835501
"87",-0.719498898622552,-0.903223954517889,-0.143407008173737
"88",-0.839447505737308,-0.881534973216537,-0.242450463007269
"89",-1.28623009982561,-1.08227124573877,-0.183971482186304
"90",0.655943553767439,-0.0641464976619706,-0.433027906215442
"91",-0.438817296510938,-0.980275930881478,0.149271263907456
"92",1.43285901330549,0.0381927147591354,-0.0905495435720263
"93",-0.283153171103783,-0.714328202015128,-0.0956822529461536
"94",-0.755553139955635,-0.855499796002449,-0.219780388198645
"95",0.293639553447298,-0.247328358805031,-0.620785936735201
"96",-0.215141660802911,-0.553133626756817,-0.333296156454139
"97",0.97684940534111,-0.12538615251317,-0.405693196791657
"98",0.852335256677556,-0.320500530122174,-0.170634653385031
"99",-1.02822373881266,-1.17694409811676,0.100772913984152
"100",0.205794505025911,-0.694582798565596,0.0895849892231148
"101",0.29520381951602,0.11311797357713,-0.858911819934455
"102",0.291697932792744,-0.0720611623542413,-0.550209192915647
"103",-1.55348399028289,-1.29879321898878,-0.0217040408483347
"104",0.14169248628385,-0.21694718044613,0.188937811958491
"105",0.385502103712085,-0.527826841804785,0.122991364544062
"106",-1.10336037127519,-1.19324173087184,0.0809280565670162
"107",1.49170396532766,-0.174988740943891,0.0701962702607034
"108",4.17973863339607,2.69511795189468,-1.43750058049776
"109",1.03505682794107,-0.174479537313767,0.0483751703829425
"110",-0.401798650051011,-0.987254113286204,0.142731124361262
"111",-0.522971997770851,-0.742799273438522,-0.148655297321764
"112",-1.27456603873985,-1.13956833376555,-0.0322012706496972
"113",2.47807869647428,-0.641035700779342,0.377246590298088
"114",-0.811134374912042,-0.973243278609361,-0.0419499420844421
"115",-0.310339618260375,-0.652094994088146,-0.15035443878256
"116",-1.05439640571816,-1.07295459294348,-0.0541859369480283
"117",0.930329958405168,-0.198060487078533,-0.00382610535155711
"118",-0.303900276645154,-0.510586529325995,-0.23322259432886
"119",1.69741130134859,0.535821144096637,-0.325558322429711
"120",0.37586705224747,-0.266677175373174,-0.215653266564679
"121",-1.29550437597704,-1.2720088168586,0.0693740809461548
"122",0.151571426757319,-0.473531469157936,-0.0784426435433962
"123",-0.520349225819801,-0.707513992218265,-0.124777831971138
"124",0.0917177732678492,-0.967207943992126,0.486696190345381
"125",-0.808818397832284,-1.01040619770255,0.0258989848326594
"126",-0.786926970028993,-0.912451874390508,-0.0411614644653956
"127",-1.2197743482211,-1.1446973259378,-0.0430376561486946
"128",0.940701865753911,-0.160420185023709,0.0427159056041181
"129",0.355379597836093,-0.31351157047139,-0.111674524119876
"130",0.367313124632829,-0.724491492237685,0.352983072365931
"131",-0.34448796726184,-0.614571308492796,-0.0985202361437167
"132",-1.0482548703697,-0.987162709978117,-0.106130405372221
"133",0.806287974433621,-0.0374547820420311,-0.270713043555877
"134",0.484293658567781,-0.64905672059243,0.329465195703471
"135",1.06852475827069,0.0646154846870871,-0.359339019157351
"136",1.59480089055962,-0.116790781272068,0.409382766668252
"137",2.81051075829814,0.770010016316304,-0.247967362288088
"138",0.814142261458337,-0.0752147148284854,-0.135046308229472
"139",-0.0132099239016281,-1.04447132111543,0.340870954473197
"140",1.47873849579052,0.115361465225622,0.0437373801586138
"141",0.388627449993518,-0.649212851024377,0.223353484233351
"142",-0.644968726241372,-0.893080408826107,-0.217367920987629
"143",-1.5456242278751,-1.26431426004137,-0.045793259260301
"144",-0.408361491795103,-0.708895063034455,-0.143925592223604
"145",-1.41970534245466,-1.20612584481642,-0.0742467287795997
"146",-0.33085816699552,-0.81817685885853,0.0954225173614819
"147",0.258878437160526,-0.190833602764541,-0.471880028927219
"148",0.148140258562236,-0.71592701659689,0.121729337171134
"149",0.322500808514599,-0.522450243692534,-0.0424892817494883
"150",1.33932088669484,0.49325189587195,-0.650888875188597
"151",-0.0679233273291673,-0.51730809567136,-0.117992281129194
"152",-0.20436522477624,-0.751996789789696,0.0860906929757956
"153",-0.82236995749748,-1.02145520028497,-0.0687723095219787
"154",-0.632156097961375,-1.00305816546339,0.028441371004086
"155",-1.84423728817864,-1.38269421482824,-0.0704876121750056
"156",-0.54609952515725,-1.06707437980135,0.054807010737943
"157",1.74602393188495,0.338684305552954,-0.396366779042865
"158",1.31296031937165,-0.0777853069989675,0.0149061282622489
"159",-0.718238641125838,-0.768591134429713,-0.298434029720129
"160",0.548463039743466,-0.995175640332247,0.600690872812237
"161",0.617545539742569,-0.256424310053118,-0.130777391238004
"162",0.244036710564443,-0.641702994046625,0.211741957830222
"163",-0.162607645894934,-1.01500757452357,0.205817957098868
"164",1.31806678084199,-0.654135758113592,0.372143207787148
"165",1.45793488487993,0.0977248949845171,-0.672204757363166
"166",-0.101639681518577,-1.05674768179741,0.14841742993159
"167",-0.356475081066637,-0.891143950055015,0.0707845225445953
"168",1.10160787533374,-0.0103431975632488,-0.102370969669036
"169",-0.935322929905931,-1.10496446798882,0.10743957601505
"170",0.742872063481595,-0.901813266894614,0.789661169411429
"171",-0.530514097660795,-1.11669689255836,0.280249836512298
"172",0.581268420707208,-0.433752990613425,0.156243571059992
"173",-0.359969656673836,-0.555246713939667,-0.22463308452562
"174",1.09058132782666,-0.196481687760178,0.0417919658045599
"175",-0.0662305320334366,-0.352779110350261,-0.261289949055841
"176",-1.4562677775526,-1.12963647974552,-0.180378214177108
