"","Genotype","Type","Ploidy","Species","CCC_Group","Average_Tuber_Weight_(g)","Number_of_Tubers_per_plant","Total_Tuber_Yield_(kg_per_plant)","clust"
"577","BGVCOL_15061810","Type_Campo","Ploidy_Tetraploid","Solanum tuberosum subsp. andigena","CCC_Group_CCC_Group_B1",9.83333333333333,5.025,0.544166666666667,"2"
"578","BGVCOL_15061811","Type_Campo","Ploidy_Tetraploid","Solanum tuberosum subsp. andigena","CCC_Group_CCC_Group_B1",6.2,9.08333333333333,0.835555555555556,"4"
"579","BGVCOL_15062362","Type_Campo","Ploidy_Tetraploid","Solanum tuberosum subsp. andigena","CCC_Group_CCC_Group_B1",7.2,9.99194139194139,0.521611721611722,"2"
"580","BGVCOL_15061813","Type_Campo","Ploidy_Tetraploid","Solanum tuberosum subsp. andigena","CCC_Group_CCC_Group_B2",7.5,10.2700854700855,0.556025641025641,"2"
"581","BGVCOL_15061814","Type_Campo","Ploidy_Tetraploid","Solanum tuberosum subsp. andigena","CCC_Group_CCC_Group_B2",12.3,9.68636363636364,0.858484848484848,"4"
"582","BGVCOL_15061815","Type_Campo","Ploidy_Tetraploid","Solanum tuberosum subsp. andigena","CCC_Group_CCC_Group_B2",10.2,8.22222222222222,0.616666666666667,"2"
"583","BGVCOL_15062372","Type_Campo","Ploidy_Tetraploid","Solanum tuberosum subsp. andigena","CCC_Group_CCC_Group_B1",3.93333333333333,6.44045584045584,0.285327635327635,"2"
"584","BGVCOL_15061826","Type_Campo","Ploidy_Tetraploid","Solanum tuberosum subsp. andigena","CCC_Group_CCC_Group_B1",7.9,94.2301587301587,5.18756613756614,"6"
"585","BGVCOL_15062373","Type_Campo","Ploidy_Tetraploid","Solanum tuberosum subsp. andigena","CCC_Group_CCC_Group_B2",12.2666666666667,14.1307692307692,0.815192307692308,"4"
"586","BGVCOL_15061893","Type_Campo","Ploidy_Tetraploid","Solanum tuberosum subsp. andigena","CCC_Group_CCC_Group_B2",16.2,16.0358974358974,1.08201923076923,"4"
"587","BGVCOL_15061894","Type_Campo","Ploidy_Tetraploid","Solanum tuberosum subsp. andigena","CCC_Group_CCC_Group_B1",7.4,11.6,0.185,"2"
"588","BGVCOL_15062379","Type_Campo","Ploidy_Tetraploid","Solanum tuberosum subsp. andigena","CCC_Group_CCC_Group_B1",7.56666666666667,5.18333333333333,0.245,"2"
"589","BGVCOL_15062380","Type_Campo","Ploidy_Tetraploid","Solanum tuberosum subsp. andigena","CCC_Group_CCC_Group_B1",12.9333333333333,9.75,0.77,"4"
"590","BGVCOL_15062381","Type_Campo","Ploidy_Tetraploid","Solanum tuberosum subsp. andigena","CCC_Group_CCC_Group_B1",10.8666666666667,8.01666666666667,0.7275,"4"
"591","BGVCOL_15062382","Type_Campo","Ploidy_Tetraploid","Solanum tuberosum subsp. andigena","CCC_Group_CCC_Group_B1",13.1333333333333,8.05,0.805,"4"
"592","BGVCOL_15062383","Type_Campo","Ploidy_Tetraploid","Solanum tuberosum subsp. andigena","CCC_Group_CCC_Group_B1",7.66666666666667,7.36666666666667,0.5175,"2"
"593","BGVCOL_15062384","Type_Campo","Ploidy_Tetraploid","Solanum tuberosum subsp. andigena","CCC_Group_CCC_Group_B1",15.4666666666667,6.43333333333333,0.82,"4"
"594","BGVCOL_15062385","Type_Campo","Ploidy_Tetraploid","Solanum tuberosum subsp. andigena","CCC_Group_CCC_Group_B1",8.16666666666667,4.26666666666667,0.425,"2"
"595","BGVCOL_15062386","Type_Campo","Ploidy_Tetraploid","Solanum tuberosum subsp. andigena","CCC_Group_CCC_Group_B1",12.6,9.7,0.715,"4"
"596","BGVCOL_15062387","Type_Campo","Ploidy_Tetraploid","Solanum tuberosum subsp. andigena","CCC_Group_CCC_Group_B1",7.76666666666667,5.75,0.535,"2"
"597","BGVCOL_15062389","Type_Campo","Ploidy_Tetraploid","Solanum tuberosum subsp. andigena","CCC_Group_CCC_Group_B2",8.36666666666667,5.11666666666667,0.325,"2"
"598","BGVCOL_15062390","Type_Campo","Ploidy_Tetraploid","Solanum tuberosum subsp. andigena","CCC_Group_CCC_Group_B2",12.4,8.08333333333333,0.6425,"2"
"599","BGVCOL_15062391","Type_Campo","Ploidy_Tetraploid","Solanum tuberosum subsp. andigena","CCC_Group_CCC_Group_B1",6.66666666666667,4.05,0.345,"2"
"600","BGVCOL_15062399","Type_Campo","Ploidy_Tetraploid","Solanum tuberosum subsp. andigena","CCC_Group_CCC_Group_B2",7.56666666666667,4.9,0.295,"2"
"601","BGVCOL_15062400","Type_Campo","Ploidy_Tetraploid","Solanum tuberosum subsp. andigena","CCC_Group_CCC_Group_B2",15.3,10.2,0.835,"4"
"602","BGVCOL_15062401","Type_Campo","Ploidy_Tetraploid","Solanum tuberosum subsp. andigena","CCC_Group_CCC_Group_B2",9.26666666666667,10.825,0.5,"2"
"603","BGVCOL_15062402","Type_Campo","Ploidy_Tetraploid","Solanum tuberosum subsp. andigena","CCC_Group_CCC_Group_B2",9.96666666666667,10.025,0.4625,"2"
"604","BGVCOL_15062404","Type_Campo","Ploidy_Tetraploid","Solanum tuberosum subsp. andigena","CCC_Group_CCC_Group_B1",12.8,17.4,0.7075,"4"
"605","BGVCOL_15062405","Type_Campo","Ploidy_Tetraploid","Solanum tuberosum subsp. andigena","CCC_Group_CCC_Group_B2",10,7.75,0.465,"2"
"606","BGVCOL_15061711","Type_Campo","Ploidy_Tetraploid","Solanum tuberosum subsp. andigena","CCC_Group_CCC_Group_B2",6.8,6,0.34,"2"
"607","BGVCOL_15061022","Type_Campo","Ploidy_Tetraploid","Solanum tuberosum subsp. andigena","CCC_Group_CCC_Group_B1",15.4,11.0055555555556,0.820555555555555,"4"
"608","BGVCOL_15060812","Type_Campo","Ploidy_Tetraploid","Solanum tuberosum subsp. andigena","CCC_Group_CCC_Group_B2",11.4,12.6138888888889,0.604444444444444,"4"
"609","BGVCOL_15060045","Type_Campo","Ploidy_Unknown","Solanum tuberosum subsp. andigena","CCC_Group_CCC_Group_B1",10,15.1666666666667,0.555555555555556,"4"
"610","BGVCOL_15060142","Type_Campo","Ploidy_Tetraploid","Solanum tuberosum subsp. andigena","CCC_Group_CCC_Group_B2",4.2,3.75625,0.2275,"2"
"611","BGVCOL_15060074","Type_Campo","Ploidy_Diploid","Solanum tuberosum subsp. phureja","CCC_Group_CCC_Group_A",52.5,2.415,0.805,"1"
"612","BGVCOL_15060100","Type_Campo","Ploidy_Diploid","Solanum tuberosum subsp. andigena","CCC_Group_CCC_Group_A",19.4,21.45,0.97,"5"
"613","BGVCOL_15060467","Type_Campo","Ploidy_Diploid","Solanum tuberosum subsp. andigena","CCC_Group_CCC_Group_A",10.4,17.6,1.04,"4"
"614","BGVCOL_15061235","Type_Campo","Ploidy_Tetraploid","Solanum tuberosum subsp. andigena","CCC_Group_CCC_Group_B1",20.5,21.1,1.025,"5"
"615","BGVCOL_15061236","Type_Campo","Ploidy_Tetraploid","Solanum tuberosum subsp. andigena","CCC_Group_CCC_Group_B1",18.2,13.3,0.91,"4"
"616","BGVCOL_15061239","Type_Campo","Ploidy_Tetraploid","Solanum tuberosum subsp. andigena","CCC_Group_CCC_Group_B1",14.6,14.6,0.73,"4"
"617","BGVCOL_15061255","Type_Campo","Ploidy_Tetraploid","Solanum tuberosum subsp. andigena","CCC_Group_CCC_Group_B1",20.3,14.35,1.015,"4"
"618","BGVCOL_15061280","Type_Campo","Ploidy_Diploid","Solanum tuberosum subsp. andigena","CCC_Group_CCC_Group_A",9.76666666666667,13.3767973856209,0.583006535947712,"4"
"619","BGVCOL_15061285","Type_Campo","Ploidy_Unknown","Solanum tuberosum subsp. andigena","CCC_Group_CCC_Group_B1",21.5,13.65,1.075,"4"
"620","BGVCOL_15061287","Type_Campo","Ploidy_Tetraploid","Solanum tuberosum subsp. andigena","CCC_Group_CCC_Group_A",6.2,7.5,0.31,"2"
"621","BGVCOL_15061288","Type_Campo","Ploidy_Tetraploid","Solanum tuberosum subsp. andigena","CCC_Group_CCC_Group_B1",19.6,20.337037037037,1.26148148148148,"5"
